rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
211,San Marino,SMR,763.82,763.82,0,UEFA,1992-12-31
75,Oman,OMA,1323.03,1323.03,0,AFC,1992-12-31
74,Bulgaria,BUL,1325.16,1325.16,0,UEFA,1992-12-31
73,Cabo Verde,CPV,1331.46,1332.96,1,CAF,1992-12-31
72,Congo DR,COD,1332.84,1332.84,-1,CAF,1992-12-31
71,El Salvador,SLV,1333.48,1333.48,0,CONCACAF,1992-12-31
70,Iraq,IRQ,1338.91,1338.91,0,AFC,1992-12-31
69,United Arab Emirates,UAE,1346.09,1346.09,0,AFC,1992-12-31
68,South Africa,RSA,1350.55,1347.91,0,CAF,1992-12-31
67,Montenegro,MNE,1354.59,1354.59,0,UEFA,1992-12-31
66,Albania,ALB,1361.81,1361.81,0,UEFA,1992-12-31
76,Israel,ISR,1316.35,1316.35,0,UEFA,1992-12-31
65,Slovenia,SVN,1372.48,1372.48,0,UEFA,1992-12-31
63,Iceland,ISL,1379.61,1379.61,0,UEFA,1992-12-31
62,Jamaica,JAM,1382.06,1382.06,0,CONCACAF,1992-12-31
61,Panama,PAN,1389.27,1386.51,0,CONCACAF,1992-12-31
60,Ghana,GHA,1393.47,1389.68,0,CAF,1992-12-31
59,Finland,FIN,1398.41,1398.41,0,UEFA,1992-12-31
58,Northern Ireland,NIR,1399.1,1399.1,0,UEFA,1992-12-31
57,Bosnia and Herzegovina,BIH,1403.98,1403.98,0,UEFA,1992-12-31
56,Venezuela,VEN,1405.17,1405.17,0,CONMEBOL,1992-12-31
55,Burkina Faso,BFA,1425.64,1425.64,0,CAF,1992-12-31
54,Romania,ROU,1427.84,1427.84,0,UEFA,1992-12-31
64,North Macedonia,MKD,1375.2,1375.2,0,UEFA,1992-12-31
77,Uzbekistan,UZB,1306.63,1306.63,0,AFC,1992-12-31
78,China PR,CHN,1305.06,1304.02,0,AFC,1992-12-31
79,Gabon,GAB,1301.84,1301.84,0,CAF,1992-12-31
102,Kenya,KEN,1202.26,1202.26,0,CAF,1992-12-31
101,Trinidad and Tobago,TRI,1205.85,1205.85,0,CONCACAF,1992-12-31
100,Lebanon,LBN,1211.71,1211.71,0,AFC,1992-12-31
99,Congo,CGO,1215.09,1215.09,0,CAF,1992-12-31
98,Equatorial Guinea,EQG,1215.33,1215.33,0,CAF,1992-12-31
97,Vietnam,VIE,1218.84,1218.84,0,AFC,1992-12-31
96,Belarus,BLR,1226.55,1226.55,0,UEFA,1992-12-31
95,Kyrgyz Republic,KGZ,1232.91,1232.91,0,AFC,1992-12-31
94,Palestine,PLE,1233.72,1233.72,0,AFC,1992-12-31
93,Luxembourg,LUX,1235.36,1235.36,0,UEFA,1992-12-31
92,Armenia,ARM,1242.42,1242.42,0,UEFA,1992-12-31
91,Benin,BEN,1258.71,1262.49,0,CAF,1992-12-31
90,Uganda,UGA,1264.56,1264.56,0,CAF,1992-12-31
89,Syria,SYR,1265.03,1265.03,0,AFC,1992-12-31
88,Haiti,HAI,1269.07,1269.07,1,CONCACAF,1992-12-31
87,Zambia,ZAM,1270.8,1268.18,-1,CAF,1992-12-31
86,Jordan,JOR,1279.74,1279.74,0,AFC,1992-12-31
85,Bahrain,BHR,1289.25,1289.25,0,AFC,1992-12-31
84,Curaçao,CUW,1293.35,1293.35,0,CONCACAF,1992-12-31
83,Guinea,GUI,1294.89,1294.89,0,CAF,1992-12-31
82,Georgia,GEO,1296.46,1296.46,0,UEFA,1992-12-31
81,Bolivia,BOL,1298.81,1298.81,0,CONMEBOL,1992-12-31
80,Honduras,HON,1299.69,1299.69,0,CONCACAF,1992-12-31
53,Saudi Arabia,KSA,1435.74,1435.74,0,AFC,1992-12-31
103,New Zealand,NZL,1198.96,1198.96,0,OFC,1992-12-31
52,Côte d'Ivoire,CIV,1435.91,1435.91,0,CAF,1992-12-31
50,Paraguay,PAR,1440.13,1440.13,0,CONMEBOL,1992-12-31
22,IR Iran,IRN,1558.64,1558.64,-1,AFC,1992-12-31
21,Peru,PER,1562.24,1562.24,0,CONMEBOL,1992-12-31
20,Sweden,SWE,1563.44,1563.44,0,UEFA,1992-12-31
19,Wales,WAL,1582.13,1582.13,0,UEFA,1992-12-31
18,Senegal,SEN,1584.59,1593.45,0,CAF,1992-12-31
17,Colombia,COL,1604.07,1604.07,0,CONMEBOL,1992-12-31
16,Switzerland,SUI,1621.43,1621.43,0,UEFA,1992-12-31
15,Croatia,CRO,1632.15,1632.15,0,UEFA,1992-12-31
14,USA,USA,1635.01,1635.01,0,CONCACAF,1992-12-31
13,Uruguay,URU,1640.95,1643.71,0,CONMEBOL,1992-12-31
23,Morocco,MAR,1558.35,1558.9,1,CAF,1992-12-31
12,Mexico,MEX,1649.57,1649.57,0,CONCACAF,1992-12-31
10,Denmark,DEN,1665.47,1665.47,0,UEFA,1992-12-31
9,Portugal,POR,1678.65,1678.65,0,UEFA,1992-12-31
8,Netherlands,NED,1679.41,1679.41,0,UEFA,1992-12-31
7,Italy,ITA,1713.86,1713.86,0,UEFA,1992-12-31
6,Spain,ESP,1716.93,1716.93,0,UEFA,1992-12-31
5,England,ENG,1737.46,1737.46,0,UEFA,1992-12-31
4,France,FRA,1764.85,1764.85,0,UEFA,1992-12-31
3,Argentina,ARG,1770.65,1770.65,0,CONMEBOL,1992-12-31
2,Belgium,BEL,1821.92,1821.92,0,UEFA,1992-12-31
1,Brazil,BRA,1837.56,1837.56,0,CONMEBOL,1992-12-31
11,Germany,GER,1658.96,1658.96,0,UEFA,1992-12-31
24,Japan,JPN,1554.69,1552.77,0,AFC,1992-12-31
25,Serbia,SRB,1549.53,1549.53,0,UEFA,1992-12-31
26,Poland,POL,1546.18,1546.18,0,UEFA,1992-12-31
49,Greece,GRE,1441.45,1441.45,1,UEFA,1992-12-31
48,Qatar,QAT,1441.97,1441.41,-1,AFC,1992-12-31
47,Republic of Ireland,IRL,1442.48,1442.48,0,UEFA,1992-12-31
46,Mali,MLI,1442.88,1447.74,0,CAF,1992-12-31
45,Scotland,SCO,1462.96,1462.96,0,UEFA,1992-12-31
44,Ecuador,ECU,1463.74,1463.74,0,CONMEBOL,1992-12-31
43,Canada,CAN,1473.82,1473.82,0,CONCACAF,1992-12-31
42,Türkiye,TUR,1475.13,1475.13,0,UEFA,1992-12-31
41,Algeria,ALG,1480.59,1480.59,0,CAF,1992-12-31
40,Egypt,EGY,1482.63,1482.63,0,CAF,1992-12-31
39,Australia,AUS,1483.73,1483.73,0,AFC,1992-12-31
38,Cameroon,CMR,1484.95,1484.95,0,CAF,1992-12-31
37,Hungary,HUN,1486.76,1486.76,0,UEFA,1992-12-31
36,Norway,NOR,1488.57,1488.57,0,UEFA,1992-12-31
35,Russia,RUS,1493.42,1493.42,0,UEFA,1992-12-31
34,Costa Rica,CRC,1500.06,1500.06,0,CONCACAF,1992-12-31
33,Austria,AUT,1502.47,1502.47,0,UEFA,1992-12-31
32,Czech Republic,CZE,1502.9,1502.9,0,UEFA,1992-12-31
31,Nigeria,NGA,1504.7,1504.7,0,CAF,1992-12-31
30,Tunisia,TUN,1507.86,1507.86,0,CAF,1992-12-31
29,Chile,CHI,1514.86,1514.86,0,CONMEBOL,1992-12-31
28,Korea Republic,KOR,1526.02,1526.2,0,AFC,1992-12-31
27,Ukraine,UKR,1542.79,1542.79,0,UEFA,1992-12-31
51,Slovakia,SVK,1439.99,1439.99,0,UEFA,1992-12-31
104,India,IND,1198.65,1198.65,0,AFC,1992-12-31
210,Anguilla,AIA,790.74,790.74,0,CONCACAF,1992-12-31
106,Kosovo,KOS,1183.9,1183.9,0,UEFA,1992-12-31
182,Macau,MAC,922.1,922.1,0,AFC,1992-12-31
181,Chad,CHA,931.98,931.98,0,CAF,1992-12-31
180,Mauritius,MRI,932.02,940.47,1,CAF,1992-12-31
179,St. Vincent and the Grenadines,VIN,939.97,939.97,-1,CONCACAF,1992-12-31
178,Montserrat,MSR,940.78,947.96,1,CONCACAF,1992-12-31
177,Moldova,MDA,944.96,944.96,-1,UEFA,1992-12-31
176,Nepal,NEP,950.45,950.45,0,AFC,1992-12-31
175,Belize,BLZ,950.88,950.88,0,CONCACAF,1992-12-31
174,Cambodia,CAM,954.3,954.3,0,AFC,1992-12-31
173,St. Lucia,LCA,965.66,965.66,0,CONCACAF,1992-12-31
183,Laos,LAO,914.66,914.66,0,AFC,1992-12-31
172,Guyana,GUY,968.74,968.74,0,CONCACAF,1992-12-31
170,Puerto Rico,PUR,974.32,974.32,1,CONCACAF,1992-12-31
169,Malta,MLT,974.68,974.68,1,UEFA,1992-12-31
168,Bermuda,BER,977.47,970.3,-2,CONCACAF,1992-12-31
167,Cuba,CUB,978.65,978.65,0,CONCACAF,1992-12-31
166,Barbados,BRB,982.27,982.27,0,CONCACAF,1992-12-31
165,South Sudan,SSD,983.99,985.53,0,CAF,1992-12-31
164,Vanuatu,VAN,990.55,990.55,0,OFC,1992-12-31
163,Fiji,FIJ,993.37,993.37,0,OFC,1992-12-31
162,Tahiti,TAH,995.11,995.11,0,OFC,1992-12-31
161,Papua New Guinea,PNG,997.6,997.6,0,OFC,1992-12-31
171,Grenada,GRN,969.0,969.0,0,CONCACAF,1992-12-31
184,Mongolia,MNG,913.55,913.55,0,AFC,1992-12-31
185,Dominica,DMA,911.51,911.51,0,CONCACAF,1992-12-31
186,Bhutan,BHU,910.96,910.96,0,AFC,1992-12-31
209,British Virgin Islands,VGB,809.32,809.32,0,CONCACAF,1992-12-31
208,US Virgin Islands,VIR,823.97,823.97,0,CONCACAF,1992-12-31
207,Sri Lanka,SRI,825.25,825.25,0,AFC,1992-12-31
206,Turks and Caicos Islands,TCA,832.0,832.0,0,CONCACAF,1992-12-31
205,Guam,GUM,838.33,838.33,0,AFC,1992-12-31
204,Somalia,SOM,854.72,857.39,4,CAF,1992-12-31
203,Bahamas,BAH,854.8,854.8,-1,CONCACAF,1992-12-31
202,Aruba,ARU,855.37,855.37,-1,CONCACAF,1992-12-31
201,Eritrea,ERI,855.56,855.56,-1,CAF,1992-12-31
200,Gibraltar,GIB,856.55,856.55,-1,UEFA,1992-12-31
199,Timor-Leste,TLS,860.06,861.43,0,AFC,1992-12-31
198,Seychelles,SEY,860.48,866.94,3,CAF,1992-12-31
197,Tonga,TGA,861.81,861.81,-1,OFC,1992-12-31
196,Cayman Islands,CAY,865.72,865.72,-1,CONCACAF,1992-12-31
195,Pakistan,PAK,866.81,866.81,-1,AFC,1992-12-31
194,Liechtenstein,LIE,873.99,873.99,0,UEFA,1992-12-31
193,Djibouti,DJI,877.84,875.98,0,CAF,1992-12-31
192,Bangladesh,BAN,883.18,883.18,0,AFC,1992-12-31
191,Samoa,SAM,894.26,894.26,0,OFC,1992-12-31
190,Brunei Darussalam,BRU,897.1,897.1,0,AFC,1992-12-31
189,Cook Islands,COK,899.33,899.33,0,OFC,1992-12-31
188,American Samoa,ASA,900.27,900.27,0,OFC,1992-12-31
187,São Tomé and Príncipe,STP,908.18,908.18,0,CAF,1992-12-31
160,New Caledonia,NCL,999.7,999.7,0,OFC,1992-12-31
