current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
1,"HPE
                
                
                    United States","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",Frontier,DOE/SC/Oak Ridge National Laboratory,"8,730,112","1,102.00","1,685.65","21,100"
2,"Fujitsu
                
                
                    Japan","- Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D,",Supercomputer Fugaku,RIKEN Center for Computational Science,"7,630,848",442.01,537.21,"29,899"
3,"HPE
                
                
                    Finland","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",LUMI,EuroHPC/CSC,"1,110,144",151.9,214.35,"2,942"
4,"IBM
                
                
                    United States","- IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband,",Summit,DOE/SC/Oak Ridge National Laboratory,"2,414,592",148.6,200.79,"10,096"
5,"IBM / NVIDIA / Mellanox
                
                
                    United States","- IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband,",Sierra,DOE/NNSA/LLNL,"1,572,480",94.64,125.71,"7,438"
6,"NRCPC
                
                
                    China","- Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway,",Sunway TaihuLight,National Supercomputing Center in Wuxi,"10,649,600",93.01,125.44,"15,371"
7,"HPE
                
                
                    United States","- HPE Cray EX235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10,",Perlmutter,DOE/SC/LBNL/NERSC,"761,856",70.87,93.75,"2,589"
8,"Nvidia
                
                
                    United States","- NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband,",Selene,NVIDIA Corporation,"555,520",63.46,79.22,"2,646"
9,"NUDT
                
                
                    China","- TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000,",Tianhe-2A,National Super Computer Center in Guangzhou,"4,981,760",61.44,100.68,"18,482"
10,"HPE
                
                
                    France","- HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11,",Adastra,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),"319,072",46.1,61.61,921
11,"Atos
                
                
                    Germany","- Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,",JUWELS Booster Module,Forschungszentrum Juelich (FZJ),"449,280",44.12,70.98,"1,764"
12,"DELL EMC
                
                
                    Italy","- PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband,",HPC5,Eni S.p.A.,"669,760",35.45,51.72,"2,252"
13,"Microsoft Azure
                
                
                    United States","- ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband,",Voyager-EUS2,Azure East US 2,"253,440",30.05,39.53,
14,"HPE
                
                
                    United States","- Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10,",Polaris,DOE/SC/Argonne National Laboratory,"256,592",25.81,34.16,
15,"HPE
                
                
                    South Korea","- Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200,",SSC-21,Samsung Electronics,"204,160",25.18,31.75,
16,"DELL EMC
                
                
                    United States","- Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR,",Frontera,Texas Advanced Computing Center/Univ. of Texas,"448,448",23.52,38.75,
17,"Atos
                
                
                    France","- BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2,",CEA-HF,Commissariat a l'Energie Atomique (CEA),"810,240",23.24,31.76,"4,959"
